ticker,date,period_ending,estimate,reported,surprise,surprise%
OKTA,2021-05-26,2021-04,-0.2,-0.1,0.1,50
PTC,2021-04-28,2021-03,0.72,1.08,0.36,50
SPOT,2021-04-28,2021-03,-0.61,-0.3,0.31,50.82
DHR,2021-04-22,2021-03,1.67,2.52,0.85,50.9
XYL,2021-05-04,2021-03,0.37,0.56,0.19,51.35
FOXA,2021-05-05,2021-03,0.58,0.88,0.3,51.72
WFC,2021-04-14,2021-03,0.69,1.05,0.36,52.17
WDC,2021-04-29,2021-03,0.67,1.02,0.35,52.24
USB,2021-04-15,2021-03,0.95,1.45,0.5,52.63
WSO,2021-04-22,2021-03,0.91,1.39,0.48,52.75
ORI,2021-04-22,2021-03,0.45,0.69,0.24,53.33
TNDM,2021-05-05,2021-03,-0.15,-0.07,0.08,53.33
PRU,2021-05-04,2021-03,2.68,4.11,1.43,53.36
BBY,2021-05-27,2021-04,1.45,2.23,0.78,53.79
BC,2021-04-29,2021-03,1.45,2.24,0.79,54.48
OXY,2021-05-10,2021-03,-0.33,-0.15,0.18,54.55
WOOF,2021-05-20,2021-03,0.11,0.17,0.06,54.55
QRTEA,2021-05-07,2021-03,0.31,0.48,0.17,54.84
AN,2021-04-20,2021-03,1.8,2.79,0.99,55
CHDN,2021-04-21,2021-03,0.56,0.87,0.31,55.36
PPC,2021-04-28,2021-03,0.27,0.42,0.15,55.56
TXG,2021-05-05,2021-03,-0.25,-0.11,0.14,56
LEG,2021-05-03,2021-03,0.41,0.64,0.23,56.1
HAS,2021-04-27,2021-03,0.64,1,0.36,56.25
TSCO,2021-04-22,2021-03,0.99,1.55,0.56,56.57
VIRT,2021-05-04,2021-03,1.3,2.04,0.74,56.92
XPO,2021-05-03,2021-03,0.93,1.46,0.53,56.99
PINS,2021-04-27,2021-03,0.07,0.11,0.04,57.14
DAR,2021-05-11,2021-03,0.57,0.9,0.33,57.89
RGEN,2021-05-04,2021-03,0.43,0.68,0.25,58.14
MDB,2021-06-03,2021-04,-0.36,-0.15,0.21,58.33
WSM,2021-05-26,2021-04,1.85,2.93,1.08,58.38
ALL,2021-05-05,2021-03,3.85,6.11,2.26,58.7
OMF,2021-04-26,2021-03,2.12,3.37,1.25,58.96
SWCH,2021-05-10,2021-03,0.05,0.08,0.03,60
FCN,2021-04-29,2021-03,1.18,1.89,0.71,60.17
ELAN,2021-05-07,2021-03,0.23,0.37,0.14,60.87
OLED,2021-05-06,2021-03,0.67,1.08,0.41,61.19
CLH,2021-05-05,2021-03,0.26,0.42,0.16,61.54
MRO,2021-05-05,2021-03,0.13,0.21,0.08,61.54
AMZN,2021-04-29,2021-03,9.75,15.79,6.04,61.95
DOCU,2021-06-03,2021-04,0.27,0.44,0.17,62.96
TGT,2021-05-19,2021-04,2.26,3.69,1.43,63.27
BPOP,2021-04-28,2021-03,1.91,3.12,1.21,63.35
AA,2021-04-15,2021-03,0.48,0.79,0.31,64.58
AYX,2021-05-04,2021-03,-0.23,-0.08,0.15,65.22
ZION,2021-04-19,2021-03,1.15,1.9,0.75,65.22
TEAM,2021-04-29,2021-03,0.29,0.48,0.19,65.52
UPS,2021-04-27,2021-03,1.67,2.77,1.1,65.87
CRWD,2021-06-03,2021-04,0.06,0.1,0.04,66.67
SC,2021-04-28,2021-03,1.45,2.42,0.97,66.9
EXPD,2021-05-04,2021-03,1,1.67,0.67,67
CASY,2021-06-08,2021-04,0.67,1.12,0.45,67.16
TMUS,2021-05-04,2021-03,0.55,0.92,0.37,67.27
GOOG,2021-04-27,2021-03,15.66,26.29,10.63,67.88
GOOGL,2021-04-27,2021-03,15.66,26.29,10.63,67.88
